"efecto","Estimate","SE","df","t","p"
"(Intercept)",4.55960735224768,0.158437955528587,57.556915231456,28.7785040966715,0.00000000000000000000000000000000000737533161291463
"condicionAudio",0.0373857960469428,0.224065105503193,57.5569152444835,0.166852379637534,0.868071009758846
"condicionImagen",-0.307327519215539,0.233214355896394,57.5569152469827,-1.31778988490773,0.192795197705629
"tiempoT2",0.144280440576579,0.12647905956618,73.9999998839955,1.14074567814986,0.257654219405107
"tiempoT3",0.249172768129779,0.12647905956618,73.9999998848698,1.97007132235514,0.0525723576026644
"condicionAudio:tiempoT2",0.295313918001054,0.178868401394687,73.9999998889874,1.65101222853455,0.102974104121627
"condicionImagen:tiempoT2",0.141284618966724,0.18617213478109,73.9999998891368,0.758892404241123,0.45032744421581
"condicionAudio:tiempoT3",0.405485136669125,0.178868401394687,73.9999998906243,2.26694672456087,0.0263151999791845
"condicionImagen:tiempoT3",0.270734380214685,0.18617213478109,73.9999998889645,1.45421537188166,0.150115047842889
