"modelo","AIC","BIC","R2_marginal","R2_condicional"
"tiempo_categorico",1272.6742998643,1303.3367090349,0.166704672568032,0.732055421095553
"n_estimulos",1296.6071571239,1318.90709106616,0.164202533767121,0.735074993112711
