"modelo","N","participantes","AIC","BIC","R2_marginal","R2_condicional","efecto_tiempo","p_tiempo","efecto_condicion","p_condicion","interaccion","p_interaccion","conclusion"
"primario",69,23,777.951415377679,804.760693432846,0.226095724828017,0.793582630359369,49.6249999999999,0.0153052281495613,21.3749999999999,0.578982403412696,1.37500000000005,0.9608502865469,"efecto tiempo significativo"
"con_demora",120,40,697.478228871058,724.287506926225,0.195822014406702,0.794404671313605,49.6249999999999,0.0238478256899688,21.3749999999999,0.613081172166632,1.37500000000011,0.963520514021266,"efecto tiempo significativo"
"log_n_palabras",120,40,191.395809300978,222.058218471581,0.178332362557685,0.738190752459645,0.144280440576579,0.257654219405107,0.0373857960469428,0.868071009758846,0.295313918001054,0.102974104121627,"sin efecto"
"log_n_tokens",120,40,184.634882343648,215.297291514251,0.171397520382598,0.743606001866513,0.15855218888486,0.19751390534887,0.0181589168910863,0.93426675683514,0.301608552912859,0.0844169159035699,"sin efecto"
"n_estimulos",120,40,1296.6071571239,1318.90709106616,0.164202533767121,0.735074993112711,NA,NA,13.9591836734697,0.617049520258993,NA,NA,"sin efecto"
