observado,ajustado,residuo
99,138.72167124872465,-39.72167124872465
193,188.3466712487246,4.65332875127541
288,234.8466712487246,53.15332875127541
42,32.474935629200694,9.525064370799306
90,82.09993562920064,7.900064370799356
91,128.59993562920064,-37.599935629200644
142,81.87817964276084,60.12182035723916
143,131.50317964276078,11.496820357239216
104,178.00317964276078,-74.00317964276078
186,233.3616206240989,-47.36162062409889
311,282.9866206240988,28.013379375901195
401,329.4866206240988,71.5133793759012
28,-4.726302332817511,32.72630233281751
28,44.89869766718243,-16.898697667182432
42,91.39869766718243,-49.39869766718243
84,136.6384019228516,-52.638401922851614
158,186.26340192285156,-28.263401922851557
331,232.76340192285156,98.23659807714844
36,16.106390925912677,19.893609074087323
66,65.73139092591262,0.26860907408737944
66,112.23139092591262,-46.23139092591262
91,73.54510233926875,17.45489766073125
116,123.1701023392687,-7.170102339268695
154,169.6701023392687,-15.670102339268709
36,65.15911196965405,-29.15911196965405
142,116.15911196965413,25.840888030345866
143,155.78411196965416,-12.784111969654163
154,147.59705529348636,6.402944706513637
222,198.59705529348645,23.40294470651355
222,238.22205529348648,-16.222055293486477
214,192.53615075160437,21.463849248395633
231,243.53615075160445,-12.536150751604453
304,283.1611507516045,20.83884924839549
29,45.81446822940461,-16.81446822940461
86,96.8144682294047,-10.814468229404696
141,136.43946822940472,4.560531770595276
97,132.41895020498296,-35.41895020498296
194,183.41895020498305,10.581049795016952
256,223.04395020498308,32.956049795016924
41,40.755099866570134,0.24490013342986572
92,91.75509986657022,0.24490013342978045
106,131.38009986657025,-25.380099866570248
81,80.63482696185362,0.3651730381463807
90,131.63482696185372,-41.63482696185372
202,171.25982696185375,30.740173038146253
227,174.0843367224433,52.91566327755669
230,225.08433672244337,4.915663277556632
230,264.7093367224434,-34.709336722443425
78,70.94228398527366,7.0577160147263385
102,111.7994268424166,-9.799426842416594
153,151.51371255670233,1.4862874432976696
45,20.348600356928948,24.651399643071052
45,61.20574321407188,-16.20574321407188
73,100.9200289283576,-27.920028928357596
96,121.83357751731455,-25.833577517314552
146,162.6907203744575,-16.6907203744575
262,202.40500608874322,59.59499391125678
135,181.65316816023983,-46.65316816023983
245,222.51031101738275,22.489688982617253
325,262.2245967316685,62.7754032683315
70,66.18052552613536,3.819474473864645
122,107.03766838327829,14.962331616721713
125,146.751954097564,-21.75195409756401
60,25.407968719763417,34.59203128023658
60,66.26511157690635,-6.2651115769063495
60,105.97939729119207,-45.97939729119207
37,34.633875734343924,2.366124265656076
87,75.49101859148686,11.508981408513137
87,115.20530430577259,-28.205304305772586
