sha256,tamano_bytes,n_copias,principal,ruta,copiado_al_material_piloto
930f3a7304c2cf0095686f9d55ac4df9ade9b1a0e8a6b2badcde3d41387d04f6,4200,3,COPIA,Analisis agosto/articulo_1/analisis_piloto/datos/principal_longitudinal.csv,NO_COPIADO
930f3a7304c2cf0095686f9d55ac4df9ade9b1a0e8a6b2badcde3d41387d04f6,4200,3,COPIA,Analisis agosto/para_articulos/analisis_piloto/datos/principal_longitudinal.csv,NO_COPIADO
0141c5756e6c26a9cf9a996685e7c4efa99355fec0fca3c6fe8b9bef903b5c50,103077,3,PRINCIPAL,Analisis agosto/analisis_piloto/modelos/modelos_comparativos.rds,03_resultados/modelos_comparativos/modelos_comparativos.rds
0141c5756e6c26a9cf9a996685e7c4efa99355fec0fca3c6fe8b9bef903b5c50,103077,3,COPIA,Analisis agosto/articulo_1/analisis_piloto/modelos/modelos_comparativos.rds,NO_COPIADO
0141c5756e6c26a9cf9a996685e7c4efa99355fec0fca3c6fe8b9bef903b5c50,103077,3,COPIA,Analisis agosto/para_articulos/analisis_piloto/modelos/modelos_comparativos.rds,NO_COPIADO
3807307857365fc1008480e0dc929841ecd196a2630976c1f78bb1e74ed67192,113390,3,PRINCIPAL,Analisis agosto/analisis_piloto/modelos/modelos_piloto.rds,03_resultados/modelos_piloto/modelos_piloto.rds
3807307857365fc1008480e0dc929841ecd196a2630976c1f78bb1e74ed67192,113390,3,COPIA,Analisis agosto/articulo_1/analisis_piloto/modelos/modelos_piloto.rds,NO_COPIADO
3807307857365fc1008480e0dc929841ecd196a2630976c1f78bb1e74ed67192,113390,3,COPIA,Analisis agosto/para_articulos/analisis_piloto/modelos/modelos_piloto.rds,NO_COPIADO
25a3ae0adf29cf581084d0774e13eb4aa25366157dbc324dba8aaa0f1aebc062,117415,3,PRINCIPAL,Analisis agosto/analisis_piloto/modelos/modelos_principal.rds,03_resultados/modelos_comparativos/modelos_principal.rds
25a3ae0adf29cf581084d0774e13eb4aa25366157dbc324dba8aaa0f1aebc062,117415,3,COPIA,Analisis agosto/articulo_1/analisis_piloto/modelos/modelos_principal.rds,NO_COPIADO
25a3ae0adf29cf581084d0774e13eb4aa25366157dbc324dba8aaa0f1aebc062,117415,3,COPIA,Analisis agosto/para_articulos/analisis_piloto/modelos/modelos_principal.rds,NO_COPIADO
8483a2540f3a49c5a0691154066c1eda6256803ab2c946c632bc958bca9fdebd,299,3,PRINCIPAL,Analisis agosto/analisis_piloto/tablas/auditoria_principal.csv,03_resultados/tablas_comparativas/auditoria_principal.csv
8483a2540f3a49c5a0691154066c1eda6256803ab2c946c632bc958bca9fdebd,299,3,COPIA,Analisis agosto/articulo_1/analisis_piloto/tablas/auditoria_principal.csv,NO_COPIADO
8483a2540f3a49c5a0691154066c1eda6256803ab2c946c632bc958bca9fdebd,299,3,COPIA,Analisis agosto/para_articulos/analisis_piloto/tablas/auditoria_principal.csv,NO_COPIADO
77bdebc7ada8458dbf09a5860eb53f88eb81eaf0979ff054b34d5e4f7bb2fe0e,2926,3,PRINCIPAL,Analisis agosto/analisis_piloto/tablas/descriptivos_condicion_tiempo.csv,03_resultados/tablas_comparativas/descriptivos_condicion_tiempo.csv
77bdebc7ada8458dbf09a5860eb53f88eb81eaf0979ff054b34d5e4f7bb2fe0e,2926,3,COPIA,Analisis agosto/articulo_1/analisis_piloto/tablas/descriptivos_condicion_tiempo.csv,NO_COPIADO
77bdebc7ada8458dbf09a5860eb53f88eb81eaf0979ff054b34d5e4f7bb2fe0e,2926,3,COPIA,Analisis agosto/para_articulos/analisis_piloto/tablas/descriptivos_condicion_tiempo.csv,NO_COPIADO
65ba4f1bc511ab4324701b58335dd229ab463003c111b92ad16b413a1f46da6d,112109,3,COPIA,Analisis agosto/articulo_1/resultados/graficos español/figura_02_linguistica_es.png,NO_COPIADO
65ba4f1bc511ab4324701b58335dd229ab463003c111b92ad16b413a1f46da6d,112109,3,COPIA,Analisis agosto/para_articulos/resultados/graficos español/figura_02_linguistica_es.png,NO_COPIADO
65ba4f1bc511ab4324701b58335dd229ab463003c111b92ad16b413a1f46da6d,112109,3,PRINCIPAL,Analisis agosto/resultados/graficos español/figura_02_linguistica_es.png,NO_COPIADO
d034f35cbcaaab387c10ec8477c72ccdb2f07f06052413fbdb18b076e16a1bee,99422,3,COPIA,Analisis agosto/articulo_1/resultados/graficos español/figura_03_hopper_es.png,NO_COPIADO
d034f35cbcaaab387c10ec8477c72ccdb2f07f06052413fbdb18b076e16a1bee,99422,3,COPIA,Analisis agosto/para_articulos/resultados/graficos español/figura_03_hopper_es.png,NO_COPIADO
d034f35cbcaaab387c10ec8477c72ccdb2f07f06052413fbdb18b076e16a1bee,99422,3,PRINCIPAL,Analisis agosto/resultados/graficos español/figura_03_hopper_es.png,NO_COPIADO
9c60a82ed2d9919440417ef0478dae4b3f67692decc65242f8a9bbae8ecea5cb,71237,3,COPIA,Analisis agosto/articulo_1/resultados/graficos español/figura_04_similitud_es.png,NO_COPIADO
9c60a82ed2d9919440417ef0478dae4b3f67692decc65242f8a9bbae8ecea5cb,71237,3,COPIA,Analisis agosto/para_articulos/resultados/graficos español/figura_04_similitud_es.png,NO_COPIADO
