efecto,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F)
fuente,9.566222859727674,9.566222859727674,1,33.999997909610045,0.006027672838981849,0.9385710495220858
condicion,6495.08706086534,3247.54353043267,2,33.99999906905944,2.0462757578237607,0.14483066026727498
tiempo,61033.6545011492,30516.8272505746,2,68.00000097571657,19.228639500400067,2.406249844625282e-7
fuente:condicion,565.6752580783473,282.83762903917363,2,33.99999764949888,0.17821586632469313,0.8375383711908968
fuente:tiempo,21735.171518895888,10867.585759447944,2,68.00000097817247,6.847661032788766,0.0019525339550393655
condicion:tiempo,10478.881489859734,2619.7203724649335,4,68.00000097826242,1.6506846606418928,0.17167080836723742
fuente:condicion:tiempo,11690.681385457481,2922.6703463643703,4,68.00000097722169,1.8415733066644966,0.13094251304994317
