"id_participante","fuente","condicion","demora","cambio_semantico_t1t2","cambio_semantico_t2t3","cambio_semantico_total","cambio_n_palabras_t1t2","cambio_n_palabras_t2t3","cambio_n_palabras_total","cambio_n_palabras_calculado_t1t2","cambio_n_palabras_calculado_t2t3","cambio_n_palabras_calculado_total","cambio_n_tokens_t1t2","cambio_n_tokens_t2t3","cambio_n_tokens_total","cambio_ttr_t1t2","cambio_ttr_t2t3","cambio_ttr_total","cambio_n_oraciones_t1t2","cambio_n_oraciones_t2t3","cambio_n_oraciones_total","cambio_palabras_oracion_t1t2","cambio_palabras_oracion_t2t3","cambio_palabras_oracion_total","cambio_long_palabra_t1t2","cambio_long_palabra_t2t3","cambio_long_palabra_total","cambio_joy_t1t2","cambio_joy_t2t3","cambio_joy_t1t3","cambio_sadness_t1t2","cambio_sadness_t2t3","cambio_sadness_t1t3","cambio_fear_t1t2","cambio_fear_t2t3","cambio_fear_t1t3","cambio_anger_t1t2","cambio_anger_t2t3","cambio_anger_t1t3","cambio_anticipation_t1t2","cambio_anticipation_t2t3","cambio_anticipation_t1t3","cambio_trust_t1t2","cambio_trust_t2t3","cambio_trust_t1t3","cambio_surprise_t1t2","cambio_surprise_t2t3","cambio_surprise_t1t3","cambio_disgust_t1t2","cambio_disgust_t2t3","cambio_disgust_t1t3","cambio_palabras_t1t2","cambio_palabras_t2t3","cambio_palabras_total","cambio_bing_t1t2","cambio_bing_t2t3","pct_cambio_n_palabras_t1t2","pct_cambio_n_palabras_t2t3","pct_cambio_n_palabras_calculado_t1t2","pct_cambio_n_palabras_calculado_t2t3","score_soledad_t1","score_soledad_t2","score_soledad_t3","score_espera_t1","score_espera_t2","score_espera_t3","score_incomunicacion_t1","score_incomunicacion_t2","score_incomunicacion_t3","score_objetos_t1","score_objetos_t2","score_objetos_t3","score_emociones_negativas_t1","score_emociones_negativas_t2","score_emociones_negativas_t3","score_luz_sombra_t1","score_luz_sombra_t2","score_luz_sombra_t3","score_pasividad_t1","score_pasividad_t2","score_pasividad_t3","score_desconexion_t1","score_desconexion_t2","score_desconexion_t3","score_duda_t1","score_duda_t2","score_duda_t3","score_espacio_t1","score_espacio_t2","score_espacio_t3","score_influencia_T2","score_influencia_T3","score_complejidad"
"principal_P11","principal","Audio","D",0,0,0,17,73,90,17,73,90,8,35,43,-0.00440000000000007,0.00560000000000005,0.00119999999999998,0,2,2,2,-3.17,-1.17,0.100000000000001,0.0499999999999998,0.15,0,1,1,1,1,2,0,1,1,0,1,1,0,2,2,0,2,2,0,1,1,0,1,1,17,73,90,1,1,7.94392523364486,31.6017316017316,7.94392523364486,31.6017316017316,2,2,2,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2.5,2.2
"principal_P12","principal","Audio","D",0.414389840461575,0.119111147721968,0.491094902558384,57,55,112,57,55,112,31,28,59,-0.1522,-0.0639999999999999,-0.2162,1,0,1,8,14,22,-0.28,0,-0.28,1,2,3,0,0,0,0,1,1,0,0,0,0,2,2,0,3,3,2,2,4,-1,1,0,57,55,112,0,0,196.551724137931,63.953488372093,196.551724137931,63.953488372093,0,3,2,0,1,2,0,0,0,3,6,9,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,3,4,8,2.5,7,7.44
"principal_P13","principal","Audio","D",0.00327215127329306,0.0033163620914386,0.00656782487059648,97,62,159,97,62,159,48,31,79,-0.0237999999999999,-0.0156000000000001,-0.0394,3,1,4,2.14,2.24,4.38,-0.159999999999999,0.0899999999999999,-0.0699999999999994,5,3,8,5,1,6,5,1,6,2,1,3,2,1,3,2,2,4,1,1,2,5,1,6,97,62,159,5,1,100,31.9587628865979,100,31.9587628865979,2,2,2,0,0,0,0,0,0,3,5,10,0,3,3,0,0,0,1,1,1,0,0,0,0,0,0,3,5,6,4,12.5,1.82
"principal_P14","principal","Audio","ND",0.140109773909733,0.0562112887475337,0.221137010291068,51,14,65,51,14,65,26,5,31,0.0492999999999999,0.0402,0.0894999999999999,0,0,0,26,5,31,-0.32,0.16,-0.16,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,51,14,65,0,1,124.390243902439,15.2173913043478,124.390243902439,15.2173913043478,3,3,3,0,0,0,0,0,0,3,4,5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4,4,5,0,4.5,25.36
"principal_P15","principal","Audio","ND",0.0489430163622192,0.0149260897150388,0.0663369278818644,9,112,121,9,112,121,7,58,65,0.00469999999999993,-0.0724,-0.0677000000000001,0,5,5,2.33,-3.58,-1.25,-0.0599999999999996,0.47,0.41,0,2,2,0,2,2,0,6,6,0,1,1,0,2,2,0,2,2,0,1,1,0,1,1,9,112,121,0,2,11.1111111111111,124.444444444444,11.1111111111111,124.444444444444,1,1,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,13,2.21
"principal_P16","principal","Audio","ND",0.0185170003137919,0.000000000000000111022302462516,0.0185170003137919,3,0,3,3,0,3,1,0,1,0.00339999999999996,0,0.00339999999999996,0,0,0,0.25,0,0.25,-0.0199999999999996,0,-0.0199999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1.3215859030837,0,1.3215859030837,0,3,3,3,0,0,0,0,0,0,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0.210000000000001
"principal_P17","principal","Imagen","D",0.318523128067713,0.203664731689658,0.263608814904629,24,51,75,24,51,75,6,22,28,-0.1421,0.012,-0.1301,0,2,2,6,-20,-14,-0.0700000000000003,0.300000000000001,0.23,0,0,0,3,0,3,1,2,3,1,0,1,0,2,2,2,1,3,-1,1,0,4,-3,1,24,51,75,3,0,30.7692307692308,50,30.7692307692308,50,2,1,2,0,0,0,0,0,0,3,8,7,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,3,4,7,3.5,1,5.86
"principal_P18","principal","Imagen","ND",0,0.072402687950471,0.072402687950471,0,28,28,0,28,28,0,14,14,0,-0.048,-0.048,0,1,1,0,-4,-4,0,-0.53,-0.53,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,1,1,0,28,28,0,1,0,62.2222222222222,0,62.2222222222222,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,3,0,1.5,0
"principal_P19","principal","Imagen","D",0.0804848581152994,0.00545263482463798,0.0721375312809596,50,116,166,50,116,166,23,61,84,0.0293,-0.001,0.0283,3,1,4,-6,6.76,0.759999999999998,-0.0200000000000005,0.340000000000001,0.32,2,2,4,2,1,3,2,3,5,1,2,3,3,1,4,0,3,3,1,1,2,2,3,5,50,116,166,2,1,52.0833333333333,79.4520547945205,52.0833333333333,79.4520547945205,5,4,5,0,0,0,0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,12.5,-6.04
"principal_P20","principal","Imagen","D",0.0107051424770723,0.120103784905117,0.137843162389731,110,80,190,110,80,190,59,33,92,0.0742,-0.0212,0.053,4,3,7,-0.380000000000001,-1.12,-1.5,-0.22,0.24,0.0200000000000005,3,1,4,5,3,8,3,1,4,3,0,3,5,1,6,2,1,3,3,1,4,2,3,5,110,80,190,5,3,81.4814814814815,32.6530612244898,81.4814814814815,32.6530612244898,5,10,12,0,1,2,0,1,3,4,6,10,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5,9,11,12.5,-0.82
"principal_P21","principal","Imagen","D",0.380122390620398,0.555673491768032,0.615195957144608,52,3,55,52,3,55,30,-1,29,-0.1237,-0.11,-0.2337,2,1,3,-14,-5.75,-19.75,-0.600000000000001,0.41,-0.19,-1,2,1,3,1,4,1,2,3,1,1,2,4,-2,2,0,-1,-1,1,0,1,0,5,5,52,3,55,3,1,74.2857142857143,2.45901639344262,74.2857142857143,2.45901639344262,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,5.5,3.5,-15.2
"principal_P22","principal","Imagen","ND",0,0.0142831863805423,0.0142831863805423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0999999999999996,0.0999999999999996,0,0,0,0,-1,-1,0,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,3,3,3,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,-2.5,0
"principal_P23","principal","Imagen","D",0.115494161856743,0,0.115494161856743,50,0,50,50,0,50,22,0,22,-0.0691000000000001,0,-0.0691000000000001,0,0,0,22,0,22,-0.100000000000001,0,-0.100000000000001,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2,0,0,0,1,0,1,50,0,50,0,0,135.135135135135,0,135.135135135135,0,1,1,1,0,0,0,1,1,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,-3,0,21.8
"piloto_P1","piloto","Texto",NA,0.304441110348688,0.0973965037925164,0.304865860497614,NA,NA,NA,10,7,17,4,3,7,0.1317,-0.0297000000000001,0.102,0,0,0,4,3,7,-0.109999999999999,0.04,-0.0699999999999994,-1,0,-1,-1,0,-1,-1,0,-1,0,0,0,-1,1,0,-1,0,-1,1,-1,0,-1,0,-1,10,7,17,-1,0,NA,NA,9.43396226415094,6.03448275862069,4,2,1,0,0,0,0,1,1,4,6,8,0,1,1,0,0,0,1,2,2,0,0,0,0,0,0,6,2,2,1.5,4,3.78
"piloto_P10","piloto","Audio",NA,0.0245288385215077,0.0117994547847685,0.0216184682301513,NA,NA,NA,-4,4,0,-1,2,1,0.0237000000000001,0.00390000000000001,0.0276000000000001,-1,-1,-2,0.55,1.24,1.79,-0.0300000000000002,-0.25,-0.28,0,0,0,-1,0,-1,-1,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-4,4,0,-1,0,NA,NA,-4.76190476190476,5,2,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,-3,0,0.489999999999999
"piloto_P11","piloto","Audio",NA,0.145121885545281,0.0215286595283689,0.142923030806534,NA,NA,NA,76,27,103,32,14,46,-0.0915,0.000800000000000023,-0.0907,3,0,3,0.710000000000001,2,2.71,0.15,0.109999999999999,0.26,0,0,0,4,0,4,4,0,4,0,0,0,2,1,3,0,0,0,2,0,2,1,0,1,76,27,103,4,0,NA,NA,96.2025316455696,17.4193548387097,2,5,5,0,0,0,0,0,0,2,5,7,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,2,5,7,11,4,1.01
"piloto_P12","piloto","Audio",NA,0,0,0,NA,NA,NA,108,108,216,54,44,98,-0.048,-0.0328999999999999,-0.0809,10,9,19,-1.1,-0.470000000000001,-1.57,-0.140000000000001,0.04,-0.100000000000001,1,0,1,0,1,1,2,1,3,1,1,2,1,1,2,1,2,3,1,1,2,1,2,3,108,108,216,0,1,NA,NA,88.5245901639344,46.9565217391304,1,3,3,1,1,3,0,0,0,1,2,2,1,3,4,0,0,0,0,1,1,0,0,0,0,0,0,1,2,2,2,2.5,-1.38
"piloto_P13","piloto","Imagen",NA,0,0.152224190434413,0.152224190434413,NA,NA,NA,0,35,35,0,10,10,0,0.0848,0.0848,0,1,1,0,-0.4,-0.4,0,0.41,0.41,0,0,0,0,-2,-2,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,1,1,0,35,35,0,-2,NA,NA,0,37.6344086021505,4,4,5,0,0,0,0,0,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,6,5,0,-7,0
"piloto_P14","piloto","Imagen",NA,0.434399641366558,0.154496233966458,0.497128844326637,NA,NA,NA,-53,49,-4,-27,23,-4,0.1648,-0.0903,0.0745,0,0,0,-27,23,-4,0,0.67,0.67,-2,1,-1,0,0,0,2,0,2,2,0,2,1,0,1,-1,1,0,1,0,1,2,0,2,-53,49,-4,0,0,NA,NA,-58.8888888888889,132.432432432432,1,1,1,0,0,0,0,0,0,4,1,10,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,4,1,5,4.5,18,-27
"piloto_P15","piloto","Imagen",NA,0.156493291067254,0,0.156493291067254,NA,NA,NA,16,0,16,9,0,9,-0.0123,0,-0.0123,1,0,1,0.23,0,0.23,0.31,0,0.31,1,0,1,1,0,1,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,16,0,16,1,0,NA,NA,25,0,2,6,6,0,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4.5,0,0.85
"piloto_P16","piloto","Imagen",NA,0.660864054835788,0.0679561677471757,0.698974972771429,NA,NA,NA,47,9,56,19,5,24,0,-0.0294,-0.0294,0,0,0,19,5,24,-0.84,0.399999999999999,-0.44,-1,0,-1,-1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,47,9,56,-1,1,NA,NA,276.470588235294,14.0625,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,-0.5,3.5,17.32
"piloto_P17","piloto","Imagen",NA,0,0.380003969924102,0.380003969924102,NA,NA,NA,17,-56,-39,6,-27,-21,0.0414,-0.00619999999999998,0.0352,1,1,2,-48,-27,-75,-0.0700000000000003,0.15,0.0800000000000001,1,2,3,0,-1,-1,0,-1,-1,0,-1,-1,-1,1,0,0,0,0,0,1,1,0,2,2,17,-56,-39,0,-1,NA,NA,7.55555555555556,-23.1404958677686,8,6,4,0,0,0,0,0,0,4,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,-3.5,-1.5,-48.14
"piloto_P2","piloto","Texto",NA,0.446024745196863,0.000000000000000111022302462516,0.446024745196863,NA,NA,NA,-68,0,-68,-37,0,-37,0.0562,0,0.0562,0,0,0,-37,0,-37,0.38,0,0.38,-4,0,-4,3,0,3,5,0,5,5,0,5,-4,0,-4,-4,0,-4,2,0,2,4,0,4,-68,0,-68,3,0,NA,NA,-46.2585034013605,0,3,3,3,0,0,0,0,0,0,6,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,21,0,-36.24
"piloto_P3","piloto","Texto",NA,0.103269524261495,0,0.103269524261495,NA,NA,NA,-23,0,-23,-8,0,-8,0.027,0,0.027,1,0,1,-13.5,0,-13.5,-0.2,0,-0.2,0,0,0,1,0,1,-1,0,-1,-1,0,-1,-4,0,-4,2,0,2,-1,0,-1,1,0,1,-23,0,-23,1,0,NA,NA,-17.2932330827068,0,4,2,2,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,-1.5,0,-13.9
"piloto_P4","piloto","Texto",NA,0,0,0,NA,NA,NA,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0499999999999998,0,0.0499999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,NA,NA,0.854700854700855,0,2,1,1,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,-1,0,0.0999999999999996
"piloto_P5","piloto","Texto",NA,0.220863517270042,0.133280109809142,0.240725161891101,NA,NA,NA,-82,-41,-123,-31,-15,-46,0.1281,0.1143,0.2424,0,0,0,-31,-15,-46,0.34,0.11,0.45,-2,0,-2,-4,-2,-6,-3,-2,-5,-4,0,-4,-3,-2,-5,-1,0,-1,0,0,0,-4,-2,-6,-82,-41,-123,-4,-2,NA,NA,-50.3067484662577,-50.6172839506173,8,1,2,0,0,0,0,0,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,-13.5,-5,-30.32
"piloto_P6","piloto","Texto",NA,0.00137486209657023,0.045670895095163,0.0486832376433312,NA,NA,NA,0,32,32,0,15,15,0,0.0356,0.0356,0,1,1,0,-1.5,-1.5,0,0.17,0.17,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,32,32,0,2,NA,NA,0,40.5063291139241,3,3,4,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,6,0
"piloto_P7","piloto","Audio",NA,0.0184876442293419,0,0.0184876442293419,NA,NA,NA,2,131,133,1,66,67,0.00269999999999992,-0.0841,-0.0814,0,1,1,0.340000000000003,7.33,7.67,0.04,-0.0300000000000002,0.00999999999999979,0,0,0,2,2,4,1,1,2,2,0,2,0,0,0,0,1,1,1,0,1,2,1,3,2,131,133,2,2,NA,NA,0.816326530612245,53.0364372469636,11,11,14,0,0,0,0,0,0,6,6,7,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1,7,7,8,5.5,6,0.420000000000003
"piloto_P8","piloto","Audio",NA,0.00327200320122045,0,0.00327200320122045,NA,NA,NA,-2,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,0,0,NA,NA,-1.24223602484472,0,8,8,8,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"piloto_P9","piloto","Audio",NA,0.146345964753781,0,0.146345964753781,NA,NA,NA,51,-2,49,22,0,22,0.0166999999999999,0,0.0166999999999999,1,0,1,1.9,0,1.9,0.180000000000001,-0.0100000000000007,0.17,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,2,1,0,1,51,-2,49,0,0,NA,NA,45.9459459459459,-1.23456790123457,4,4,4,2,2,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,-3,0,2.26
