"fuente","condicion","demora","iteracion","metrica","n","Media","SD","Mediana","Min","Max"
"principal","Imagen","ND",3,"n_palabras_calculado",2,66.5,9.19238815542512,66.5,60,73
"principal","Imagen","ND",3,"ttr",2,0.9133,0.0738219479558756,0.9133,0.8611,0.9655
"principal","Texto","D",1,"n_palabras",3,54,26.153393661244,42,36,84
"principal","Texto","D",1,"n_palabras_calculado",3,54,26.153393661244,42,36,84
"principal","Texto","D",1,"ttr",3,0.9048,0.130454934747598,0.9583,0.7561,1
"principal","Texto","D",2,"n_palabras",3,104.666666666667,47.7214137817954,90,66,158
"principal","Texto","D",2,"n_palabras_calculado",3,104.666666666667,47.7214137817954,90,66,158
"principal","Texto","D",2,"ttr",3,0.8302,0.127500862742179,0.8039,0.7179,0.9688
"principal","Texto","D",3,"n_palabras",3,162.666666666667,146.315868357924,91,66,331
"principal","Texto","D",3,"n_palabras_calculado",3,162.666666666667,146.315868357924,91,66,331
"principal","Texto","D",3,"ttr",3,0.798,0.104012114679012,0.8298,0.6818,0.8824
"principal","Texto","ND",1,"n_palabras",5,109.2,59.1667136150048,99,28,186
"principal","Texto","ND",1,"n_palabras_calculado",5,109.2,59.1667136150048,99,28,186
"principal","Texto","ND",1,"ttr",5,0.83138,0.0484151009500135,0.8462,0.7692,0.8953
"principal","Texto","ND",2,"n_palabras",5,158.2,104.310593901099,143,28,311
"principal","Texto","ND",2,"n_palabras_calculado",5,158.2,104.310593901099,143,28,311
"principal","Texto","ND",2,"ttr",5,0.74932,0.0640564360544668,0.7547,0.6738,0.8462
"principal","Texto","ND",3,"n_palabras",5,197.8,145.272846740194,154,42,401
"principal","Texto","ND",3,"n_palabras_calculado",5,197.8,145.272846740194,154,42,401
"principal","Texto","ND",3,"ttr",5,0.72248,0.112499608888209,0.7429,0.5611,0.85
