"condicion","tiempo","emmean","SE","df","lower.CL","upper.CL"
"Texto","T1",90.2293103448281,29.8378487500056,39.9061149919385,15.8699752742033,164.588645415453
"Audio","T1",111.604310344828,29.8378487500057,39.9061149919391,37.244975274203,185.963645415453
"Imagen","T1",71.4640394088669,32.3862661189965,39.4741811145078,-9.28476018510398,152.212839002838
"Texto","T2",139.854310344828,29.8378487500057,39.9061149919387,65.494975274203,214.213645415453
"Audio","T2",162.604310344828,29.8378487500057,39.9061149919391,88.2449752742029,236.963645415453
"Imagen","T2",112.32118226601,32.3862661189965,39.4741811145079,31.5723826720388,193.069981859981
"Texto","T3",186.354310344828,29.8378487500057,39.9061149919386,111.994975274203,260.713645415453
"Audio","T3",202.229310344828,29.8378487500057,39.9061149919392,127.869975274203,276.588645415453
"Imagen","T3",152.035467980295,32.3862661189965,39.4741811145079,71.2866683863245,232.784267574266
