"condicion","cambio_palabras_oracion_t1t2","cambio_palabras_oracion_t2t3","cambio_palabras_oracion_total","cambio_palabras_t1t2","cambio_palabras_t2t3","cambio_palabras_total","cambio_ttr_t1t2","cambio_ttr_t2t3","cambio_ttr_total","cambio_bing_t1t2","cambio_bing_t2t3"
"Audio",6.68714285714286,1.685,8.37214285714286,45.6428571428571,41.7857142857143,87.4285714285714,-0.0236785714285715,-0.0167571428571428,-0.0404357142857143,0.785714285714286,0.571428571428571
"Imagen",-4.0125,-1.95916666666667,-5.97166666666667,26.0833333333333,26.25,52.3333333333333,-0.00312499999999999,-0.0174416666666667,-0.0205666666666667,1.08333333333333,0.25
"Texto",-2.71285714285714,-0.923571428571429,-3.63642857142857,16.8571428571429,26.4285714285714,43.2857142857143,-0.0207928571428571,-0.00790000000000002,-0.0286928571428572,-0.0714285714285714,0.5
