contrast,condicion,estimate,SE,df,t.ratio,p.value
T1 - T2,Texto,-49.62499999999995,21.12554232627361,39.999999999999744,-2.3490521205830475,0.047695650597834885
T1 - T3,Texto,-96.12499999999994,21.12554232627362,39.999999999999936,-4.5501790446558275,1.4708796667098058e-4
T2 - T3,Texto,-46.49999999999999,21.125542326273592,40.00000000000013,-2.2011269240727835,0.047695650597834885
T1 - T2,Audio,-51.0000000000001,21.125542326273596,40.000000000000036,-2.414139207047574,0.04088083626597428
T1 - T3,Audio,-90.62500000000011,21.125542326273592,40.000000000000036,-4.28983069879777,3.299356236387974e-4
T2 - T3,Audio,-39.625000000000014,21.12554232627359,40.000000000000036,-1.8756914917501961,0.06800945991660537
T1 - T2,Imagen,-40.85714285714292,22.584154712773476,39.999999999999936,-1.8091065783407134,0.15590930276691098
T1 - T3,Imagen,-80.57142857142867,22.58415471277347,40.000000000000036,-3.5676087768677007,0.002859380120311775
T2 - T3,Imagen,-39.71428571428575,22.584154712773472,40.000000000000036,-1.7585021985269864,0.15590930276691098
