condicion,tiempo,emmean,SE,df,lower.CL,upper.CL
Texto,T1,88.50000000000026,29.03122051389297,28.830203848570644,29.109293977256108,147.8907060227444
Audio,T1,109.87499999999977,29.03122051389298,28.83020384857069,50.484293977255604,169.26570602274393
Imagen,T1,74.42857142857123,31.035680195105957,28.83020384857069,10.937236029793986,137.91990682734848
Texto,T2,138.1250000000002,29.031220513892965,28.830203848570783,78.73429397725606,197.51570602274433
Audio,T2,160.87499999999986,29.03122051389298,28.83020384857069,101.48429397725569,220.26570602274404
Imagen,T2,115.28571428571415,31.035680195105957,28.83020384857069,51.794378886936904,178.7770496844914
Texto,T3,184.6250000000002,29.031220513892965,28.830203848570783,125.23429397725606,244.01570602274433
Audio,T3,200.4999999999999,29.03122051389298,28.83020384857069,141.10929397725573,259.89070602274404
Imagen,T3,154.9999999999999,31.035680195105954,28.83020384857069,91.50866460122265,218.49133539877712
