observado,ajustado,residuo
106,134.08280054658914,-28.08280054658914
116,107.24946721325605,8.750532786743946
123,106.91613387992274,16.08386612007726
84,51.40514913600215,32.59485086399785
80,89.90514913600218,-9.90514913600218
84,134.57181580266882,-50.57181580266882
79,101.7204462664086,-22.7204462664086
155,140.22044626640863,14.77955373359137
182,184.8871129330753,-2.8871129330752865
122,183.78229991957153,-61.78229991957153
230,222.28229991957153,7.717700080428472
338,266.9489665862382,71.05103341376179
93,98.51878995900584,-5.518789959005844
93,103.91878995900582,-10.91878995900582
128,111.31878995900584,16.68121004099416
90,68.2697125175115,21.730287482488507
37,73.66971251751147,-36.66971251751147
86,81.06971251751148,4.930287482488524
64,71.5641664962881,-7.564166496288095
80,76.96416649628807,3.0358335037119275
80,84.36416649628809,-4.364166496288092
17,50.59945935861876,-33.59945935861876
64,55.999459358618736,8.000540641381264
73,63.399459358618756,9.600540641381244
225,200.047871668576,24.952128331424007
242,205.44787166857597,36.55212833142403
186,212.84787166857598,-26.847871668575976
147,122.10296789649236,24.89703210350764
79,95.26963456315929,-16.269634563159286
79,94.93630122982596,-15.936301229825958
133,136.47876707660848,-3.4787670766084773
110,109.64543374327539,0.35456625672460973
110,109.31210040994206,0.6878995900579383
234,242.20079021371248,-8.20079021371248
236,215.3674568803794,20.632543119620607
236,215.03412354704608,20.96587645295392
163,115.81355575519154,47.186444244808456
81,88.98022242185847,-7.980222421858471
40,88.64688908852514,-48.64688908852514
79,111.32111851140525,-32.321118511405245
79,84.48778517807219,-5.487785178072187
111,84.15445184473884,26.845548155261156
245,237.69154684500694,7.30845315499306
247,276.191546845007,-29.191546845006997
378,320.8582135116736,57.141786488326375
161,120.58868269031102,40.41131730968898
159,159.08868269031103,-0.08868269031103182
159,203.7553493569777,-44.75534935697769
111,106.81187514269972,4.188124857300281
162,145.31187514269976,16.688124857300238
160,189.97854180936642,-29.97854180936642
