contrast,tiempo,estimate,SE,df,t.ratio,p.value
Texto - Audio,T1,10.00000000000018,41.438371461098,19.852617139774644,0.24132222496697528,0.9118146940840672
Texto - Imagen,T1,45.86666666666685,43.46093064216106,19.852617139774644,1.055353992400982,0.9118146940840672
Audio - Imagen,T1,35.866666666666674,43.46093064216105,19.852617139774587,0.8252622789414626,0.9118146940840672
Texto - Audio,T2,-55.333333333332924,41.438371461098015,19.852617139774587,-1.3353163114838955,0.39376567530994433
Texto - Imagen,T2,13.633333333333809,43.460930642161074,19.852617139774587,0.31369170268315033,0.7570274030561184
Audio - Imagen,T2,68.96666666666673,43.460930642161046,19.852617139774587,1.5868658504924604,0.3850292936280899
Texto - Audio,T3,-100.3333333333329,41.43837146109801,19.852617139774587,-2.421266323835264,0.07193229006015314
Texto - Imagen,T3,5.900000000000453,43.46093064216108,19.852617139774587,0.13575411094112452,0.8933827616616676
Audio - Imagen,T3,106.23333333333336,43.46093064216105,19.852617139774566,2.444340969318254,0.07193229006015314
