contrast,condicion,estimate,SE,df,t.ratio,p.value
T1 - T2,Texto,26.833333333333073,20.849028987774698,28,1.287030362376464,0.6095486533232981
T1 - T3,Texto,27.1666666666664,20.849028987774695,28,1.303018317188594,0.6095486533232981
T2 - T3,Texto,0.3333333333333286,20.849028987774716,27.999999999999915,0.015987954812129904,0.9873573823160025
T1 - T2,Audio,-38.50000000000003,20.849028987774723,28,-1.8466087808010307,0.08199967749961055
T1 - T3,Audio,-83.16666666666669,20.849028987774716,28,-3.988994725626468,0.001298362749484264
T2 - T3,Audio,-44.66666666666666,20.849028987774716,27.999999999999915,-2.142385944825437,0.08199967749961055
T1 - T2,Imagen,-5.39999999999997,22.838966957366626,28.000000000000043,-0.2364380144723761,1
T1 - T3,Imagen,-12.799999999999997,22.838966957366626,28,-0.5604456639345241,1
T2 - T3,Imagen,-7.400000000000027,22.83896695736662,28,-0.3240076494621481,1
