fuente,variable,efecto,F,df1,df2,p,R2_marginal,R2_condicional
piloto,n_palabras_calculado,condicion,1.700652231869628,2,13.999999978263851,0.2181843567103363,0.2084182502587844,0.7996164433292173
piloto,n_palabras_calculado,tiempo,1.8447869107880528,2,28.000000034816686,0.1767595382088569,0.2084182502587844,0.7996164433292173
piloto,n_palabras_calculado,condicion:tiempo,3.641638367016652,4,28.000000034338086,0.016443681497743966,0.2084182502587844,0.7996164433292173
principal,n_palabras_calculado,condicion,0.5981235187409768,2,19.99999968847398,0.5593842471158739,0.19723240785964435,0.7874578935686698
principal,n_palabras_calculado,tiempo,25.503708557059536,2,40.000000159998926,7.238757722795901e-8,0.19723240785964435,0.7874578935686698
principal,n_palabras_calculado,condicion:tiempo,0.07496307915499484,4,40.00000015915476,0.9894165688593989,0.19723240785964435,0.7874578935686698
