condicion,tiempo,emmean,SE,df,lower.CL,upper.CL
Texto,T1,143.66666666666694,29.30135346146951,19.85261713977466,82.51601219974705,204.81732113358683
Audio,T1,133.66666666666677,29.30135346146949,19.852617139774587,72.5160121997469,194.81732113358663
Imagen,T1,97.8000000000001,32.09802451255783,19.852617139774605,30.812814284527988,164.78718571547222
Texto,T2,116.83333333333387,29.301353461469535,19.852617139774587,55.6826788664139,177.98398780025383
Audio,T2,172.1666666666668,29.301353461469482,19.852617139774605,111.01601219974692,233.3173211335867
Imagen,T2,103.20000000000006,32.09802451255783,19.852617139774605,36.21281428452795,170.18718571547217
Texto,T3,116.50000000000054,29.30135346146953,19.852617139774566,55.34934553308058,177.6506544669205
Audio,T3,216.83333333333346,29.301353461469482,19.852617139774587,155.6826788664136,277.9839878002533
Imagen,T3,110.60000000000008,32.09802451255783,19.852617139774605,43.61281428452797,177.58718571547217
