PC,variance_percent,cumulative_percent
PC1,12.675028695069123,12.675028695069123
PC2,7.508985253910809,20.18401394897993
PC3,6.8731111599076895,27.05712510888762
PC4,5.506750638362252,32.563875747249874
PC5,5.361968836102479,37.92584458335235
PC6,4.592271437557092,42.518116020909446
PC7,4.287251176319581,46.805367197229025
PC8,4.054066776390457,50.85943397361948
PC9,3.8100754234534926,54.66950939707297
PC10,3.3251214744244697,57.99463087149744
PC11,2.8858602448258295,60.88049111632327
PC12,2.7444406037472326,63.62493172007051
PC13,2.404957111592255,66.02988883166276
PC14,2.2553595036124365,68.2852483352752
PC15,2.03800975464147,70.32325808991666
PC16,1.9074623336171201,72.23072042353378
PC17,1.758417321501949,73.98913774503573
PC18,1.6570608565209448,75.64619860155668
PC19,1.5599843638013549,77.20618296535802
PC20,1.513557622577536,78.71974058793556
PC21,1.3706330781108147,80.09037366604637
PC22,1.3592874860016266,81.44966115204801
PC23,1.2510999254804849,82.7007610775285
PC24,1.1397222714989483,83.84048334902745
PC25,1.1031604975109923,84.94364384653845
PC26,0.9955829709896171,85.93922681752807
PC27,0.9731952713274286,86.9124220888555
PC28,0.9550973478871507,87.86751943674264
PC29,0.8331554092546356,88.70067484599727
PC30,0.8184042505838887,89.51907909658115
PC31,0.6978369603767878,90.21691605695794
PC32,0.6588950366417626,90.87581109359971
PC33,0.6478145646635516,91.52362565826326
PC34,0.6190666258524143,92.14269228411567
PC35,0.5707475615724613,92.71343984568813
PC36,0.4969150390055803,93.21035488469371
PC37,0.4657650177888997,93.67611990248261
PC38,0.45349813970179625,94.1296180421844
PC39,0.4375147400314182,94.56713278221582
PC40,0.4149329323593511,94.98206571457517
PC41,0.3770027212355484,95.35906843581071
PC42,0.3371107373981467,95.69617917320886
PC43,0.3093402220644251,96.00551939527328
PC44,0.30306839635470667,96.30858779162799
PC45,0.25893426224321986,96.5675220538712
PC46,0.25150297160836627,96.81902502547956
PC47,0.23305480823521155,97.05207983371477
PC48,0.23096388478371768,97.28304371849849
PC49,0.21572038746889088,97.49876410596738
PC50,0.19237317364712023,97.69113727961451
PC51,0.17943234568801272,97.87056962530252
PC52,0.1746192600231583,98.04518888532569
PC53,0.16132871404100307,98.20651759936669
PC54,0.14438517036968596,98.35090276973638
PC55,0.13667785949633945,98.48758062923272
PC56,0.12778260588163856,98.61536323511436
PC57,0.11537186194009906,98.73073509705446
PC58,0.11021069472503171,98.84094579177949
PC59,0.1067967257090487,98.94774251748854
PC60,0.0996648481191274,99.04740736560767
