embedding_dimension,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60
11,-0.03748933691188478,5.418686692310073e-05,0.021895583261247666,0.008475397304245125,0.041568851796706205,0.06720091906129691,-0.06441045883644105,0.08156175455495975,-0.11041150374847554,0.006934094780971312,0.002166781463113703,-0.005248945690262998,0.10063080050745486,0.07776462655178736,-0.03042613993243901,0.08408757105404391,-0.041698021714198695,0.038712263734069934,-0.017326657623409715,-0.0859451437087461,-0.001773802693962419,-0.04018760981043241,0.05821334161563139,0.03722917322308611,0.005392888643634903,-0.004771541364132705,-0.0013576306275923653,0.025237848431924163,-0.014639057043895483,-0.08846233907582157,0.05941163066740055,0.007656845913876655,0.043074017857941536,-0.0666029856095907,0.03360114791283739,-0.1355067033288087,-0.0032843416948862563,-0.01745940130939612,-0.0019665404191248344,0.08975957720591352,0.0448749366038521,0.009328591267170947,0.021211043959542944,0.00019287595532973834,-0.0046249849525450285,0.06908713445073304,-0.057595210714945264,0.05260289933998232,-0.021546603778700782,-0.012219688598469749,0.01817768477509744,0.12032324782922872,0.027384913146579055,0.02791056039012632,-0.0681849511432871,-0.007896647800503375,0.10868094606859136,-0.03746427956581713,-0.053325412522074955,-0.012155621383743735
12,-0.023317128264088327,-0.07048377654160486,-0.07146065711061562,-0.02867916850727955,0.02173418631317405,-0.041164948863098495,-0.06142343684322069,-0.021757125227346432,0.004924787895576669,-0.042156230039681095,0.030726971733087825,-0.13671875000275924,0.014038051571297266,-0.02900869520708424,0.002038196059003495,0.058472767604397416,-0.09678264180177516,0.004708716541373177,0.06637475873015594,0.07329620600239997,0.015438053206268341,-0.05080903539667706,-0.025062809338800444,-0.024882284444914218,-0.011582099343742089,-0.007185399280226342,0.03192766535352016,0.036250879597452094,-0.020325903656035652,-0.10508117094045069,0.014736575478866327,0.07184298931558315,-0.05288034667313364,-0.09961799941039089,-0.021300702493170526,0.021708347290221235,-0.07210866757660472,0.017416878654894545,-0.04369975181389734,-0.02154955174883786,-0.027935514121035288,-0.04327807407516901,0.024181880529337677,0.005178725166436705,-0.01212548605244354,0.01788799386472883,0.02577173906899939,0.04879783715813348,0.08781495875210216,-0.0950219300751523,0.08014482273182798,-0.16433483304666618,0.040505419868284445,-0.02242501204711168,0.03319792139090673,-0.003648751605348074,-0.02241048164903766,-0.00848475861067915,-0.01026376267402968,0.020519303824515406
13,-0.009144824785416266,-0.027873546080282006,0.023485643074418694,-0.034025790708793115,0.14873851097187335,-0.01780998380561498,-0.0658673317420289,0.028987279033713367,0.020359846184053062,-0.07128691161940225,-0.03245611380039461,0.02426883175068313,-0.023515846540262394,-0.058838114486209014,0.010207788920103034,-0.04401305504579027,0.04418539311799662,0.04966499798176205,0.019667996380647687,0.020086719575538047,0.03243490232380167,0.05760482507419313,0.12278723886218663,-0.0032270043195339972,-0.054542545729825934,0.011867818895202798,-0.04367898162783886,0.022205642943338006,0.03207122253500625,-0.0423141217913185,0.055133443699242855,0.017958214588321773,-0.022333427740108033,-0.039199144867909375,-0.014935524571162229,-0.0366335944523284,-0.049802616960782656,0.024892594207400358,-0.0162912560858522,-0.045483734441214736,-0.015036886204504893,0.02310396551749527,0.07478417688961715,-0.08732436165773087,-0.10013747478938614,0.005439284607708196,0.0254892215589474,0.11019312490076166,0.008289754216955172,0.0035482993541138316,0.118045134487385,-0.03242415220339277,0.040881728896676996,-0.027772050365295047,0.07983979568991037,-0.045847849797118416,-0.0300173790309972,-0.0102434240735131,-0.039522833449661766,-0.020808982879381505
14,-0.029102238305208552,0.0096465833314441,-0.027319190254233516,-0.014472579064334452,-0.003435045487717984,-0.00013075231544137927,-0.03289204902462296,0.0583321202714753,-0.01309430819691355,0.027249713414715392,0.05565419977424252,0.12190718310686945,0.04862932932748571,-0.06518059317262655,-0.05991038314663721,-0.04438446075086781,-0.10405999156004277,-0.04577139390185719,-0.013656680206197114,0.1057457029316198,0.02447889127543754,0.08904835319476472,-0.05023836360126981,-0.03147900167239855,-0.11914018342231338,-0.07246189237138942,-0.03131569241524155,0.15014541610338045,-0.09779120092740347,-0.024733226803610196,0.1419667214023251,0.015223927606469054,-0.013870221561768108,-0.032770351684700015,-0.07085395564745701,0.004880034656670237,0.050301843370635896,0.015020776256715072,0.004726601901410881,-0.060488419278255094,-0.059134047918513115,0.04605015552743519,-0.05112852618582548,0.04031274692332763,-0.10097343607652735,-0.02689995725924838,-0.06559127661775924,-0.031178942472166692,-0.013412104505010448,-0.11331217104242387,-0.08299108645766046,0.015534390114304191,0.021530226343383835,0.01304753729726992,-0.04698165991370948,0.09313481690228714,-0.0344845978082912,0.05218285257538372,-0.010256281782369836,0.031818175593465045
15,-0.11942127931426307,0.0317858491267747,-0.0023529934834222678,-0.033169383333831265,0.014870169778830915,-0.0008621820117070217,-0.0416159624158495,0.00957460423251222,0.0008090427171077277,-0.05378031753317092,-0.0568256223037551,-0.0017754809361557394,0.006866037404321901,-0.0013342996285658055,0.03135118964388742,-0.04733073413570667,0.010141479122759603,0.020096216003318484,-0.0215552605894374,0.030253155524679363,-0.014078291226995505,-0.03855490617506227,0.054121692726181045,0.021591214877271454,0.005298497034885926,-0.011259088259799288,-0.04334604353477458,-0.048160440826710935,0.047889690742111794,0.07212851965334172,0.02171994853037229,-0.01562286869722082,0.03201731899917176,0.003217615217937613,0.02785845768771555,-0.025877074901806848,0.06184436174507475,-0.008457783108041786,0.01145386660873045,0.011123931524854537,-0.06648448073526309,-0.03719024519867551,0.0005908985934764002,0.06633939058027671,0.0545208207757939,-0.03999627796279516,-0.0032955976536823816,0.0017074534241667502,0.016066158106560948,0.027066444861898718,0.048362466768720004,0.022555091998351116,-0.008226309055149351,0.0037556371155742355,-0.00531771042054145,-0.04499381498384113,0.031508072710953336,-0.031003426803181588,0.031884746412194874,0.02759165243981935
16,0.044345796709162645,0.036500945248178866,0.08283701652232836,0.060208759276511106,0.01081633638881728,0.09607821093522824,-0.008803455802529711,0.03656678388872722,-0.009816789952697576,-0.03184936164562097,0.021563667618957956,-0.04202132322817839,-0.04219452616803767,0.04649666231493527,0.09049043936075492,-0.016776283557819186,-0.07489947867418995,0.033136960712086744,0.004756695712045779,0.028073205571073116,-0.010894344211826197,-0.04793028201269329,0.02073369817622658,0.07093726873278688,-0.04573893138226224,0.003190887285410536,-0.024069727592517607,-0.0013517575695340903,-0.012597078070695314,-0.09945216308722035,0.004905686771762674,-0.07102897215660192,0.035963312368689666,0.06748481090366963,-0.038556665400374786,0.09646343435839344,-0.03362125940544052,0.061574170246839116,-0.12674297697655945,-0.09614678311721225,-0.021080947671992485,-0.08489419671789863,0.03975285801252102,-0.07117994376183451,0.06085142428667461,-0.005931136436150077,0.046493344858137255,0.038981290860341626,0.03185505588173503,0.0022812167984361735,-0.02713115576282209,-0.09413000954811268,0.04859029550741068,0.0775298064453312,-0.022187210702843498,0.044122011307481473,-0.05470091194397453,-0.06746144511440172,-0.06564549004075448,-0.019242776342469202
17,-0.046259950956021416,-0.027342511414013067,-0.03169420193689923,-0.06589885118984251,-0.07006564819702733,0.04192072270142902,-0.1174781262925941,0.036353141382424924,0.04792320860813501,-0.06571879436659654,-0.04051381425652158,0.04295685586378278,0.06150352687779937,0.053204884353931094,0.03312389455963315,0.002212492360706691,-0.010396120813649715,-0.01824047816597284,0.057772740090746226,-0.08462912985129507,0.0009106435648137763,0.027047040050887722,-0.04010434750005688,-0.03215149763562788,0.013171853923514307,-0.03246027080328359,0.09772839638264212,-0.011119837259664355,-0.03399757885440384,0.016408186167327116,-0.020116903913694473,-0.036403750115444014,0.014272147025001878,-0.03938344044947111,0.010534305711017815,-0.02715212773883991,0.055941687032068234,-0.0032188948618260397,0.038200630981202424,0.05574899511761425,0.02366487547637386,-0.010666537285112403,-0.04468884809521557,-0.00772745105486965,-0.034581447757610656,-0.027749132815616213,-0.0052869900954472335,0.009908867789951979,0.010137797244726418,-0.06785919925758811,-0.11726403845460591,0.026778389066512465,-0.006595332237965601,-0.06647497549556097,-0.020084896074911804,-0.014637086277690295,-0.09328244041156823,-0.009789482897532481,0.051640252630253736,-0.004626860664401039
18,0.05405078580473657,-0.055602597507826965,0.02128903011138013,-0.06958868178756325,0.03418644895147102,0.04313920333779583,-0.04775301236498819,-0.035600247389093585,-0.015015404215893938,0.05842912324525857,-0.06284739700926792,-0.03318744395670081,0.01701054321399458,-0.05901447596431938,0.027641880506905702,0.08369419891254061,-0.06491424701984604,0.01445622709861401,-0.019474648313453857,-0.033350966236675564,-0.06681435763173028,0.04212432352628387,0.054680520871053975,0.09238032289981234,-0.02199831873721921,0.02323045448794947,-0.0744835897130258,0.0194442507038777,-0.020553934780963127,0.06194454128355705,-0.01587878942073713,-0.13442653950473776,0.05511216266880767,0.003247232984685006,-0.047548886320940086,0.03993197190864686,-0.050515424157465155,0.00331593997359782,0.05059282836290766,-0.056382225854809426,0.03498344224623255,-0.08477899161696978,-0.048615489341268574,-0.04059492913244131,-0.001662018614755425,-0.025733692349678167,-0.11198199093201433,0.08041265055079222,-0.09553975491150474,-0.09508367129506168,0.17661834713419572,0.037025087405796075,0.04650690694597191,-0.042956271184338826,0.12438231601570751,0.05030542316595469,0.09232599776205268,-0.04730407383983756,-0.11285336355037014,0.06620216028089938
19,0.03305292131117163,-0.06556322634937368,-0.06443589561266296,-0.06572590862234935,-0.041255724223449024,0.05298991694771202,0.061086231541039655,0.0008884769107057445,0.050377910964194444,0.019889222205247754,0.007603977690386591,0.09033406221325194,0.09113817776375659,-0.057111277134991666,0.005828615988414653,-0.0025133973095852378,0.01483317359981289,0.0001374217850938537,0.11109843684909257,-0.03180839624488631,0.010925296176062006,-0.05827269536248797,0.08142958248095095,0.011396034135772951,-0.040829435579345624,0.034338881999831414,-0.01865114691010347,-0.004611014022266173,0.041521731509477196,0.00449059612742438,-0.02792068785819963,-0.012527912492621153,0.12422660361933557,-0.046024812260839355,-0.006028282866410363,0.06893580079095403,0.01151952502553918,-0.017127721018722678,-0.012934515469693002,-0.01728733166485423,-0.009731798001660595,0.009565143863726097,0.015382747696515707,-0.030101937012530774,-0.07276387633287143,0.0485143922879758,0.02359600502238384,-0.018084617802238297,0.012179501498306882,-0.0351104195917055,-0.01804881037410968,-0.06025505058132721,0.03388543400529549,-0.026302010989779755,-0.041787502760177106,-0.005471783749768874,0.06618947606381718,0.00037430581907551424,0.08503410094342585,0.022721234343890444
20,0.015242063426192472,-0.08057966379891093,-0.03404691604285458,0.13260848959966548,0.0311249585177074,0.01652572981211075,-0.007223747264814695,-0.06741175900225369,0.007410710377003143,-0.043486786837765905,-0.0020864307547159983,-0.009811989596455186,-0.0022206228099937273,0.06759383667785214,0.021752282677945982,-0.007653623669211221,-0.0008901327623859122,-0.004170898500899363,-0.045767313547533196,0.027923957474157168,-0.04564567902710013,0.002972317727809479,0.010477205178359301,-0.1118394069632175,-0.009337467471591823,0.020764818069392267,0.0034017838868722894,-0.06121013326223295,-0.039316171497652694,0.06668845316518285,0.09794070616168067,0.0637645135206792,-0.053193470741630215,-0.058395478645205154,-0.002852221420455303,-0.07460706427639598,-0.08455121165246857,0.008374541857372861,-0.009261284384673427,0.03049292201342315,0.012232189021395518,-0.059583435345519804,0.006041606204089619,0.05566654287526582,0.06446732874685533,-0.04038249396419132,-0.053639413939461165,0.0032459421308835192,0.011727441151935938,-0.03075000070834313,-0.003482438596877497,0.09793712699842788,0.01959131939573572,-0.011911984712279135,0.05466802757775981,-0.034803626055320024,0.00615951965860219,0.003007015609049969,0.09181188859052064,0.004615045582156098
