row_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60
1,-10.49732248662138,-2.187315610345022,0.3446202321442127,-4.426294984516538,1.4257534782321002,-0.37904021997789955,0.2963067503711492,-1.5697031731793893,2.3481188011561978,-0.38505425164312007,0.3345334175288207,-1.5096851909762534,2.9947222486400924,1.3300218088412787,-1.3002859043715962,1.655909116301301,-0.49361821246196813,0.26783565771086354,-0.4520570310251516,1.697209797696406,-3.538381979212242,1.5182243561115758,-2.405475733733236,1.2392464348958108,-1.6209455403893362,0.536303565994986,-0.4707094804737528,0.4525269617097928,-0.39949000640839705,1.8425125780834029,-0.48182937410669185,0.6557485824087163,0.07971209527382231,-1.3036353067163968,2.020188938734044,-1.615237626161107,0.4712919002017759,0.1591982175233946,0.4411469374333178,0.04485204528482192,-1.6419430429826745,0.5689022845409984,0.9550115195051838,-0.07265691967490687,-0.4110840563045133,-0.023889842067499188,1.474450641062564,0.5908535702102085,0.43162247050843816,-0.7960970190509526,-0.01603341868275598,-0.9518975972276917,-0.1768307321593398,1.1931166967662117,0.2717915756799645,-0.9258975413292968,-0.43027279189597784,-0.7225732265366916,-0.11467197611864305,-0.7790253618084718
2,-0.18594378731287203,-1.720743149457389,2.733126404627028,0.21849744730226556,-0.27978077055278416,-2.5832795299026503,3.043219777291794,1.795483693186946,6.958425520550785,-1.4581700219178064,4.240415833055247,-2.1304703498678843,0.7094059924379716,-0.5178463258754681,-3.616472488127842,-1.6552340024028096,-0.0813645550657631,-0.5268658225952835,5.546078661278097,5.457628429839586,-3.9372084382209485,-3.4764071329070503,1.0050498885003434,-3.7339756177275714,-2.618225652304506,-1.4714394667280917,0.45959023970801693,4.1973791131623335,-4.575626955372133,3.3748064125709845,-0.4043225370065134,0.09770112578387027,0.6593166541690286,-0.7738783629930756,1.2780260041923264,1.3098367378301277,2.99634843543345,2.0358906240691206,3.110412353472287,-3.6498443586873255,2.1999068346598962,-2.4120563746615575,-0.43386225721501376,0.5040687305314633,-0.7892806049964195,-0.6516135956355769,-0.35093976500416485,1.5925235560198796,-1.2472573421899864,-0.5449492529016364,-2.1607159424830464,2.1922583160947293,0.21879363200492416,-0.9258862599958869,-0.6036933846812832,-0.27721058511983987,0.21581393525551146,0.18396135505306174,0.2657652900496645,0.387890309378942
3,0.3523568963074871,1.5419123733963696,-9.71837840383875,-6.032188347362327,-2.5963820227473815,-6.8435622437830075,5.808914059512852,-0.3217532257590423,3.8162828652837875,9.311775732786822,7.875100091158518,2.7501406478863473,-0.9537358990540187,4.702683969111862,1.5440820834124882,-0.40410439374925544,3.102415314484871,0.34419242972474917,0.4893998960892209,0.31920396316520133,0.1932467537780595,-1.8322109870106422,-3.354965216704077,-1.5428518138838259,-2.3928055526070557,-1.0677465949024498,0.9921327984452271,2.947560811029955,1.5461797163342197,-1.5326199792956616,0.7860032462884203,-0.5752388574492772,0.8528729448266105,0.7715713077687522,-0.9471579856857532,0.407495300408372,-0.0041964604796359325,0.006024387650449489,1.330499114847358,-0.5995017351401425,0.14617138503634405,0.4932302436245229,-0.15978732629802914,0.7487226277253545,0.10796646615256418,0.0730685482494343,0.2743570168981194,0.3199787711935314,-0.672787429802196,-0.2029841107399173,0.7607274907092801,-0.2654389249829609,0.33404821045763644,0.2613572793437313,0.037562571092613205,-0.36887422423400185,0.3344891320857892,-0.21811869251297908,0.07109242394292178,0.7134712865124021
4,14.086014439713493,3.4834223061124323,0.06927009220493474,-3.3009528917983504,8.39645596678708,-4.719645369467009,1.36367473332389,4.025145816884783,-0.5605209189601487,-2.925394442799802,1.6193610322724499,-4.6027689781767025,5.4169949500763765,-2.8122246354972953,-2.899803262570051,3.2835893013118147,4.347899072575798,4.838277926468272,1.2396823815323863,-2.809968079632794,-0.9613282018682766,-2.713638332515402,-0.6450246033748052,-1.4120406147642621,0.2472001951961485,0.8224503666765024,-0.612373080082289,-1.0915201824123275,-0.22339397780043224,-0.9793739228833055,0.6247197715295761,1.2306206683685235,0.45304379362339514,-1.305913799270548,-0.4478816829947376,0.005067807622266718,-0.5453456329149783,-0.29919672972960915,-1.7120564966109442,-0.7843400784834863,-1.069258054016567,0.010140780446786393,0.33058254757573974,-0.009632706460452705,-0.06409083121938192,0.1518925832832453,0.06520692757652298,-0.01550299143690336,0.45587362077205085,0.20155559072446305,-0.19805132577356416,0.03084400325105871,0.36558783047184334,0.12055427539294912,-0.36942928167414346,-0.11864845083921212,-0.0771303966020347,-0.07138165365631498,-0.347143739681527,-0.12465352959485076
5,-9.317114135138691,-4.150181085137448,1.8965402245568035,-0.3533767635440491,-0.45153818429743947,1.3803822012522824,2.856540770873286,-1.4124174682741202,2.2570919412961423,5.068956603262346,1.7050101205856618,-3.387779239367931,2.075126979417639,-2.201408323404241,0.08902345115987322,-1.3144377911155993,-1.2043603044598046,1.823071171533298,1.6406861927737657,1.3362469436276443,-0.41874859938116527,2.3532226699172503,2.4654471184299953,2.64104479258693,1.1099710127236986,-1.8042569434226439,0.35783467393146423,-1.527147517921395,0.11119926281993404,1.4628318619845821,-1.892663121154732,2.728948238389328,0.20502570955040272,-2.6513828341896803,-1.5505454599765183,-0.6264473408755168,-0.11589022345959643,1.5476459046427917,-1.3456628940638768,0.8898425098680383,-1.1148933871633258,-0.21008913779127283,-1.3748269395000445,0.4067779194047787,0.8547108537299001,-0.6900837580776157,-1.9230040382757554,0.24982946280888657,0.37969895435761797,-1.264791209318195,1.3644575530039362,0.6762518125945064,0.2782958342163422,-0.3605702474485906,-0.7490603847529964,-0.0743559350454219,0.3279866733164538,0.04614073596005772,0.36096926833752874,0.6210265054359012
6,-3.8440520646140026,-2.617622944145827,-4.494008163003651,-7.581740936826133,-3.962243501965563,5.151539024205981,-0.8659945678565073,5.2369795623063915,1.2827653664093723,-1.672898409756711,-3.9738256388759297,-2.326021342968836,-2.8318298222661222,-1.152322423572738,-2.1849292872134916,3.2139008540366194,-2.5220423975561412,-0.6663186186632071,-2.828760501442771,2.034811771248291,2.110279705137202,-4.288136264438919,-0.5837268022224281,-2.5279793095409544,1.2263018849191976,2.1373887369629734,1.3965698947386618,1.566542978337749,2.117746805485444,-1.9934798914920102,-3.7570986514747657,-0.4294482575992804,0.8085814156149443,-1.2576257454525528,0.07763470022205887,0.386361440172592,-1.3416991157544795,1.279541389062735,-0.3868614899094621,0.3264622036045174,-0.029679007927840884,-0.3381780294476296,-0.48901631343701557,0.7214413185627552,-0.816600385856749,0.5888306026047501,-0.016420038765161047,-0.3690027513094692,-0.4915415282012087,-0.7795117519248045,-0.04217208781482679,-0.04796403330040608,-0.030421835764682187,0.4724454924386174,-0.17772021538615698,0.006204914424257388,-0.24391482182705426,0.343029857845575,0.6508427606262132,-0.11381975905498977
7,6.445187117765368,-11.34009170344354,1.4203330487759045,-2.4281083937225625,2.253938769581116,2.6300168753781428,1.9537201343356272,-0.9614617441584521,3.753391679954797,-0.4985273145157013,-0.7624602487923121,6.548709346017629,3.251086422320708,-0.7940132375403997,-0.8560868173484644,3.016241586501981,-1.7973418843165705,3.0842489706590785,2.2935985651789923,-1.5202169899870375,3.7572869609683783,3.622692172965894,0.6398600684708521,-0.8073609695391106,-3.094939437465197,-0.8843935333174451,0.6515451643012542,0.6982637355901378,0.6586357755007087,-0.485140316740933,0.5673715993661287,-0.7748884772465622,-0.7343573897816378,-0.5403301286413811,0.9005593878134474,0.9904449395073368,0.44560118714144925,0.1239843787881505,0.2376980986045033,2.253628853707871,0.16938818146571,-0.02498679320839454,0.29915906384475016,-1.3562799969787869,-0.059644187060808915,1.283185270894523,-0.356876173796511,0.45921317803287015,-0.45780784129327495,0.7198030164020754,-1.0952616127175152,0.4911060582289867,0.0934899960241085,-0.0867840484610619,-1.2820434215189023,0.6204971343059106,-0.7825274114391052,0.6997774640656097,0.6737200185007386,-1.5081243572552345
8,-6.970729206055365,-4.539749858530472,1.1087010149105883,-2.032303742516334,-5.699084800372628,2.409227011697694,2.3551647399837607,4.254224546050565,-4.3094936336059675,-4.412923689889746,-0.17208702964969785,2.699459207135312,-3.520310928512536,1.8655129561829058,-0.9125817783115389,-1.3835805654248547,-2.9878140859872313,1.4633469149533838,0.10808738465228904,-0.7072588913799766,-2.514863245649177,-0.232326155844304,1.5508311039339253,-0.3493515422664221,2.3997890152783716,-1.4047613594983548,1.4486523971874805,-0.3283124603695184,-1.0774914963277957,-1.9691601084985066,3.127513209317016,1.5759046681385542,-0.45398018287638786,2.492218234594161,-1.38106794616479,-1.8254790527553837,0.6350000864838886,4.602489398578009,-0.35800735276611906,-1.6570950121553614,-0.6613650211293252,2.267508878485086,1.1920465806370286,-1.3630528390293244,-0.8774332141598621,2.2854870044920084,-1.6396156907361163,2.764923623831547,0.8438179201258248,-1.8902897864715913,-0.647033002869758,-1.787937159907467,0.4552880001097065,1.3313834070388277,-1.3394553600252237,-0.8427170807958445,1.9028394476659505,1.1495490484515274,-0.4373743642791409,-1.3824331018890876
9,5.69174561974826,8.533239111144399,-14.375115112998893,2.9991685029482524,-7.889852549023786,3.272026334645705,-13.248396247548223,0.2708558116936593,-3.083972131258573,-0.683793057147099,2.3070537289189277,0.46602294761732677,-0.20151186891018796,-1.1687487325428765,0.11701194365044613,1.1842354168845688,-1.1964101353060697,7.767226648593556,-0.449447304064998,4.52291493223348,-0.19336770321314936,2.701695583543336,1.985889155229907,0.16616522597687752,-0.7028690205526521,-4.700241294121783,0.07932119317930432,0.6805603386515386,-2.58081714038988,0.25903433310461854,-0.19119118224696888,0.42745178816482937,-2.992935395277688,-2.283125171909703,-1.7286504390095423,-0.5149302288374172,-0.5982472022053483,0.5695834905225594,-0.996371450815157,-0.23227741199852855,0.7551944192901158,0.8945937451568178,-2.9259210199102563,-1.2569885481405028,-1.7734454061353717,0.8541614272224227,0.8539645109669655,-1.9631944778682384,-0.32023442027543564,-0.9505590781877807,-2.159589258143466,0.1470829510862379,-0.044398593414448156,0.2304886375739107,2.935187442906226,-0.534793241529786,0.755673084429664,-1.312615054582345,-0.7657208186146641,-0.3880651214693296
10,-10.471975125146585,1.8435718590979524,1.5203741964966109,-1.5130266181521097,-2.671369176973462,-0.9283862486555061,-6.0118396290226634,-2.821052749762909,-1.181711811375708,-0.9708342617187705,-0.2139739822308711,-0.913953083991215,1.337137907404861,-0.33464858688716015,-2.7480246365811922,0.8396942315958041,-1.2555474215733609,-2.7536631012436317,1.3395416936677274,-2.7077717785397457,-2.258928361706119,3.064662536519661,-4.4238533916969995,-0.6385258530566597,0.8127142751424251,-1.1019861390352905,-1.6522022746019631,0.3891424699629782,1.904414339312484,-2.7998911457637345,0.8017898475190602,2.0447590609689508,-1.1371463108234525,2.1340904847781808,0.6066717390730627,-0.49024363402102533,-0.6095158564136335,-1.628273639380901,-1.756538766398983,-0.9706402189630696,0.48529143332669766,-0.8863082781375025,-0.20798590470518383,-0.34602198385288163,0.3229452168464451,0.12769880387379245,-0.45286506742934357,0.23614960152242923,-0.9214728927416261,0.019531989372918467,-0.6139905135772342,0.2904396597926528,-0.27045742302756376,-0.7733568173077554,-0.5700699182640381,-0.05380144247994056,0.43597528511259187,-0.48879422311715137,-0.008156018585419728,0.3249016970497691
