dimension,scale
1,0.0328144991088141
2,0.0356784632933748
3,0.0332118952944793
4,0.0335829942413421
5,0.0326980941179669
6,0.0326771080855168
7,0.0408538493076042
8,0.0286977764807819
9,0.0317158511448345
10,0.0313583243616745
11,0.0311893297797644
12,0.0341276197777955
13,0.0273664368537373
14,0.0301005683249883
15,0.0554060871253448
16,0.0304954146431782
17,0.0430025441377523
18,0.0269411585326124
19,0.0365353835679754
20,0.0362932091593999
21,0.0361388466637411
22,0.0325039143289938
23,0.0513234219979491
24,0.0385716730151947
25,0.0425164083312208
26,0.0342244701314779
27,0.0361918708961536
28,0.0295918760662223
29,0.0282262773634464
30,0.0367848958851247
31,0.0295080243624296
32,0.0414953258906692
33,0.0390122158255767
34,0.0397260966699727
35,0.0383809470644544
36,0.0293198044052157
37,0.0292088047735699
38,0.0298109181924411
39,0.0299258382201074
40,0.0307606635557694
41,0.0255946715930008
42,0.0308933923490841
43,0.0289769398258617
44,0.0313927582582404
45,0.0320337490161978
46,0.0228598496614398
47,0.0369696018208861
48,0.0239950017645337
49,0.0295767144572481
50,0.0367704922278031
51,0.0388182119952639
52,0.0303317681051839
53,0.0302832375735839
54,0.0362700112413421
55,0.0297777443425196
56,0.0372211879564636
57,0.0451557342712807
58,0.0356647561262267
59,0.0332805777812474
60,0.0297242111526737
61,0.0329056151439938
62,0.0338880201409203
63,0.0306561535196408
64,0.0247155377349315
65,0.0375233548384304
66,0.0446300525463322
67,0.024419932783603
68,0.0378561081520047
69,0.0379125252745955
70,0.0399492575460191
71,0.0319795110865137
72,0.0281572696125807
73,0.0334342979346816
74,0.0353828699401572
75,0.0374440661091613
76,0.0400181083746575
77,0.0323706516943192
78,0.0308537735336894
79,0.0373232037671926
80,0.0393543293674048
81,0.0309573645472935
82,0.0431974791740612
83,0.032706400933264
84,0.0333615794655957
85,0.0291487036555927
86,0.0260195312999597
87,0.0275299688047662
88,0.0380977137714978
89,0.039396037138054
90,0.0342535682231488
91,0.0426383955422128
92,0.0543002255659601
93,0.034338403631213
94,0.0259643963163103
95,0.035126095757296
96,0.0386138866853993
97,0.0319939675069946
98,0.0333244418235955
99,0.0393221902511607
100,0.0386636672267508
101,0.0349793440338321
102,0.0328107202582894
103,0.0397865587896193
104,0.0362517517417277
105,0.0278481487114304
106,0.032460533878064
107,0.0410497085512288
108,0.0349415467324092
109,0.038093230022142
110,0.0293037703053209
111,0.0346529604269109
112,0.0280244062468468
113,0.0365337546964575
114,0.0258292802446653
115,0.029726897631794
116,0.0327318758416002
117,0.0295145510184696
118,0.0344840671351605
119,0.0512392428308368
120,0.0472582121979567
121,0.0313885120993068
122,0.0293664068896034
123,0.0272446407156377
124,0.0279979269988041
125,0.035704497250323
126,0.0361622816849375
127,0.0297958762792736
128,0.0348953224064374
129,0.0326790372924897
130,0.0282615392298243
131,0.0331358277534898
132,0.0314113646021524
133,0.0353738275685808
134,0.0307521197552734
135,0.0311806103407185
136,0.0356191287071203
137,0.0416757417804861
138,0.0376220684908435
139,0.0335758047983517
140,0.0488388382561612
141,0.0458815683683301
142,0.0383622909688284
143,0.051031709323241
144,0.0400664024585729
145,0.0406609862408287
146,0.0308253554506146
147,0.03823609306794
148,0.0370549914651865
149,0.0356761189289078
150,0.0427938165625448
151,0.026571619386529
152,0.0281033553757261
153,0.0451840386465076
154,0.0437100864846612
155,0.0237711192038699
156,0.0325165433845395
157,0.0387617472914884
158,0.0322853820542919
159,0.044362619003558
160,0.0400507652335497
161,0.0500218600817343
162,0.0270114370095372
163,0.0392961345894456
164,0.0284537742042464
165,0.0348131802093173
166,0.0346196903567959
167,0.0364938040957034
168,0.0336515495157196
169,0.0376459578189731
170,0.0266391228552375
171,0.0346697944874436
172,0.0293521510756218
173,0.0391096021824996
174,0.0322376533694252
175,0.0303185848393406
176,0.0317501350763951
177,0.0483862788512251
178,0.0313092440861373
179,0.0318089326480004
180,0.0287992645137758
181,0.0583770868653339
182,0.0294200434806884
183,0.0362162623878223
184,0.0352373461706435
185,0.0290460854166164
186,0.0277180755327758
187,0.0429525913738116
188,0.0314040614753129
